KeyTitle,Title,OriginalTitle,IsAdult,RuntimeMinutes,Type,StartYear,EndYear,KeyArtist
tt0099142,Blackjack,Blackjack,0.0,111.0,movie,1990.0,,37
tt0101414,Beauty And The Beast,Beauty And The Beast,0.0,84.0,movie,1991.0,,61
tt0101540,Cape Fear,Cape Fear,0.0,128.0,movie,1991.0,,210
tt0103396,Dateline Nbc,Dateline,0.0,60.0,tvseries,1992.0,,9
tt0103569,The Tonight Show With Jay Leno,The Tonight Show With Jay Leno,0.0,62.0,tvseries,1992.0,2014.0,191
tt0104694,A League Of Their Own,A League Of Their Own,0.0,128.0,movie,1992.0,,145
tt0106179,The X-Files,The X Files,0.0,45.0,tvseries,1993.0,2018.0,186
tt0106709,Desperate Remedies,Desperate Remedies,0.0,93.0,movie,1992.0,,183
tt0107242,Jack Be Nimble,Jack Be Nimble,0.0,92.0,movie,1993.0,,183
tt0107823,Piccolo Grande Amore,Piccolo Grande Amore,0.0,105.0,movie,1993.0,,97
tt0110598,Muriel'S Wedding,Muriel'S Wedding,0.0,106.0,movie,1994.0,,5
tt0115447,Il Tocco - La Sfida,Il Tocco - La Sfida,0.0,107.0,movie,1997.0,,158
tt0116250,Evita,Evita,0.0,135.0,movie,1996.0,,145
tt0116908,The Long Kiss Goodnight,The Long Kiss Goodnight,0.0,121.0,movie,1996.0,,185
tt0117218,The Nutty Professor,The Nutty Professor,0.0,95.0,movie,1996.0,,28
tt0118998,Doctor Dolittle,Doctor Dolittle,0.0,85.0,movie,1998.0,,218
tt0119141,Fools Rush In,Fools Rush In,0.0,109.0,movie,1997.0,,82
tt0120053,The Saint,The Saint,0.0,116.0,movie,1997.0,,209
tt0120148,Sliding Doors,Sliding Doors,0.0,99.0,movie,1998.0,,16
tt0120185,Spice World,Spice World,0.0,93.0,movie,1997.0,,199
tt0120338,Titanic,Titanic,0.0,194.0,movie,1997.0,,61
tt0120770,A Night At The Roxbury,A Night At The Roxbury,0.0,82.0,movie,1998.0,,97
tt0120780,Out Of Sight,Out Of Sight,0.0,123.0,movie,1998.0,,107
tt0120891,Wild Wild West,Wild Wild West,0.0,106.0,movie,1999.0,,82
tt0122718,Small Soldiers,Small Soldiers,0.0,110.0,movie,1998.0,,199
tt0131857,Baseketball,Baseketball,0.0,103.0,movie,1998.0,,16
tt0135790,Bang Boom Bang - Ein Todsicheres Ding,Bang Boom Bang - Ein Todsicheres Ding,0.0,110.0,movie,1999.0,,161
tt0145660,Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me,0.0,95.0,movie,1999.0,,95
tt0145681,The Bone Collector,The Bone Collector,0.0,118.0,movie,1999.0,,120
tt0146316,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0.0,100.0,movie,2001.0,,218
tt0156841,The Next Best Thing,The Next Best Thing,0.0,108.0,movie,2000.0,,145
tt0165929,Romeo Must Die,Romeo Must Die,0.0,115.0,movie,2000.0,,218
tt0175142,Scary Movie,Scary Movie,0.0,88.0,movie,2000.0,,29
tt0182789,Bicentennial Man,Bicentennial Man,0.0,132.0,movie,1999.0,,61
tt0187738,Blade Ii,Blade Ii,0.0,117.0,movie,2002.0,,94
tt0203009,Moulin Rouge!,Moulin Rouge!,0.0,127.0,movie,2001.0,,171
tt0203259,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,0.0,60.0,tvseries,1999.0,,70
tt0209933,Beau Travail,Beau Travail,0.0,92.0,movie,1999.0,,60
tt0217229,Louis Theroux'S Weird Weekends,Louis Theroux'S Weird Weekends,0.0,60.0,tvseries,1998.0,2000.0,140
tt0232500,The Fast And The Furious,The Fast And The Furious,0.0,106.0,movie,2001.0,,185
tt0247082,Csi: Crime Scene Investigation,Csi: Crime Scene Investigation,0.0,60.0,tvseries,2000.0,2015.0,113
tt0252076,Maid In Manhattan,Maid In Manhattan,0.0,105.0,movie,2002.0,,107
tt0255798,The Animal,The Animal,0.0,84.0,movie,2001.0,,223
tt0259711,Vanilla Sky,Vanilla Sky,0.0,136.0,movie,2001.0,,209
tt0262396,Empire,Empire,0.0,90.0,movie,2002.0,,141
tt0275022,Crossroads,Crossroads,0.0,93.0,movie,2002.0,,40
tt0278238,Samurai Jack,Samurai Jack,0.0,23.0,tvseries,2001.0,2017.0,233
tt0278504,Insomnia,Insomnia,0.0,118.0,movie,2002.0,,58
tt0281364,Wasabi,Wasabi,0.0,94.0,movie,2001.0,,94
tt0285823,Once Upon A Time In Mexico,Once Upon A Time In Mexico,0.0,102.0,movie,2003.0,,82
tt0287978,Daredevil,Daredevil,0.0,103.0,movie,2003.0,,83
tt0288937,Degrassi: The Next Generation,Degrassi: The Next Generation,0.0,30.0,tvseries,2001.0,2015.0,73
tt0289879,The Butterfly Effect,The Butterfly Effect,0.0,113.0,movie,2004.0,,209
tt0290935,Y.M.I.,Y.M.I.,0.0,80.0,movie,2004.0,,158
tt0294870,Rent,Rent,0.0,135.0,movie,2005.0,,101
tt0295178,Austin Powers In Goldmember,Austin Powers In Goldmember,0.0,94.0,movie,2002.0,,40
tt0297284,Mindhunters,Mindhunters,0.0,106.0,movie,2004.0,,152
tt0298050,Manito,Manito,0.0,78.0,movie,2002.0,,149
tt0298203,8 Mile,8 Mile,0.0,110.0,movie,2002.0,,80
tt0298412,Days Like This,Leva Livet,0.0,95.0,movie,2001.0,,37
tt0300140,Lilya 4-Ever,Lilja 4-Ever,0.0,109.0,movie,2002.0,,203
tt0305056,Last Call With Carson Daly,Last Call With Carson Daly,0.0,30.0,tvseries,2002.0,2019.0,228
tt0305357,Charlie'S Angels: Full Throttle,Charlie'S Angels: Full Throttle,0.0,106.0,movie,2003.0,,171
tt0305711,Just Married,Just Married,0.0,95.0,movie,2003.0,,97
tt0306368,Operación Triunfo,Operación Triunfo,0.0,,tvseries,2001.0,,158
tt0306685,Cradle 2 The Grave,Cradle 2 The Grave,0.0,101.0,movie,2003.0,,80
tt0312098,Birds Of Prey,Birds Of Prey,0.0,,tvseries,2002.0,2003.0,203
tt0314331,Love Actually,Love Actually,0.0,135.0,movie,2003.0,,152
tt0315327,Bruce Almighty,Bruce Almighty,0.0,101.0,movie,2003.0,,25
tt0316654,Spider-Man 2,Spider-Man 2,0.0,127.0,movie,2004.0,,223
tt0319931,American Idol,American Idol: The Search For A Superstar,0.0,42.0,tvseries,2002.0,,122
tt0320037,Jimmy Kimmel Live!,Jimmy Kimmel Live!,0.0,60.0,tvseries,2003.0,,150
tt0324554,Wicker Park,Wicker Park,0.0,114.0,movie,2004.0,,58
tt0327084,Over The Hedge,Over The Hedge,0.0,83.0,movie,2006.0,,25
tt0338639,Un Paso Adelante,Un Paso Adelante,0.0,50.0,tvseries,2002.0,2005.0,141
tt0339034,From Justin To Kelly,From Justin To Kelly,0.0,81.0,movie,2003.0,,122
tt0367479,After The Sunset,After The Sunset,0.0,97.0,movie,2004.0,,189
tt0372532,The Wedding Date,The Wedding Date,0.0,90.0,movie,2005.0,,152
tt0373474,1-800-Missing,1-800-Missing,0.0,60.0,tvseries,2003.0,2006.0,126
tt0379623,The Ellen Degeneres Show,Ellen: The Ellen Degeneres Show,0.0,60.0,tvseries,2003.0,2023.0,15
tt0382400,Australian Idol,Australian Idol,0.0,,tvseries,2003.0,2025.0,108
tt0385752,The Golden Compass,The Golden Compass,0.0,113.0,movie,2007.0,,120
tt0397892,Bolt,Bolt,0.0,96.0,movie,2008.0,,159
tt0402649,Heikoin Lenkki,Heikoin Lenkki,0.0,45.0,tvseries,2002.0,2017.0,22
tt0405336,Southland Tales,Southland Tales,0.0,145.0,movie,2006.0,,162
tt0411061,88 Minutes,88 Minutes,0.0,108.0,movie,2007.0,,28
tt0413573,Grey'S Anatomy,Grey'S Anatomy,0.0,45.0,tvseries,2005.0,,67
tt0416212,The Secret Life Of Bees,The Secret Life Of Bees,0.0,114.0,movie,2008.0,,13
tt0417148,Snakes On A Plane,Snakes On A Plane,0.0,105.0,movie,2006.0,,96
tt0421156,"Veritas, Prince Of Truth","Veritas, Prince Of Truth",0.0,93.0,movie,2006.0,,66
tt0426883,Alpha Dog,Alpha Dog,0.0,122.0,movie,2006.0,,206
tt0427327,Hairspray,Hairspray,0.0,117.0,movie,2007.0,,232
tt0429438,Strange Love,Strange Love,0.0,60.0,tvseries,2005.0,,38
tt0429591,Aquamarine,Aquamarine,0.0,110.0,movie,2006.0,,110
tt0432082,Soundz Of Spirit,Soundz Of Spirit,0.0,60.0,movie,2003.0,,155
tt0433035,Real Steel,Real Steel,0.0,127.0,movie,2011.0,,218
tt0435651,The Giver,The Giver,0.0,97.0,movie,2014.0,,170
tt0437086,Alita: Battle Angel,Alita: Battle Angel,0.0,122.0,movie,2019.0,,74
tt0437741,Project Runway,Project Runway,0.0,60.0,tvseries,2004.0,,38
tt0443489,Dreamgirls,Dreamgirls,0.0,130.0,movie,2006.0,,34
tt0443706,Zodiac,Zodiac,0.0,157.0,movie,2007.0,,185
tt0446046,Take The Lead,Take The Lead,0.0,118.0,movie,2006.0,,189
tt0448115,Shazam!,Shazam!,0.0,132.0,movie,2019.0,,41
tt0450950,The X Factor,The X Factor,0.0,60.0,tvseries,2005.0,2016.0,104
tt0455944,The Equalizer,The Equalizer,0.0,132.0,movie,2014.0,,212
tt0460649,How I Met Your Mother,How I Met Your Mother,0.0,23.0,tvseries,2005.0,2014.0,40
tt0460681,Supernatural,Supernatural,0.0,44.0,tvseries,2005.0,2020.0,164
tt0460792,Fast Food Nation,Fast Food Nation,0.0,116.0,movie,2006.0,,25
tt0461770,Enchanted,Enchanted,0.0,107.0,movie,2007.0,,101
tt0462590,Step Up,Step Up,0.0,104.0,movie,2006.0,,189
tt0463398,Dancing With The Stars,Dancing With The Stars,0.0,60.0,tvseries,2005.0,,191
tt0463985,The Fast And The Furious: Tokyo Drift,The Fast And The Furious: Tokyo Drift,0.0,104.0,movie,2006.0,,71
tt0463998,Freedom Writers,Freedom Writers,0.0,123.0,movie,2007.0,,149
tt0465234,National Treasure: Book Of Secrets,National Treasure: Book Of Secrets,0.0,124.0,movie,2007.0,,9
tt0465602,Shoot 'Em Up,Shoot 'Em Up,0.0,86.0,movie,2007.0,,95
tt0472023,So You Think You Can Dance,So You Think You Can Dance,0.0,60.0,tvseries,2005.0,,47
tt0472181,The Smurfs,The Smurfs,0.0,103.0,movie,2011.0,,121
tt0475394,Smokin' Aces,Smokin' Aces,0.0,108.0,movie,2006.0,,13
tt0477080,Unstoppable,Unstoppable,0.0,98.0,movie,2010.0,,9
tt0480687,Hall Pass,Hall Pass,0.0,105.0,movie,2011.0,,81
tt0481536,Harold & Kumar Escape From Guantanamo Bay,Harold & Kumar Escape From Guantanamo Bay,0.0,114.0,movie,2008.0,,116
tt0482346,Entertainment Tonight Canada,Entertainment Tonight Canada,0.0,30.0,tvseries,2005.0,2023.0,182
tt0484740,Love In The Time Of Cholera,Love In The Time Of Cholera,0.0,139.0,movie,2007.0,,192
tt0485920,Vengeance,Jack'S Law,0.0,90.0,movie,2006.0,,206
tt0485985,Red Tails,Red Tails,0.0,125.0,movie,2012.0,,163
tt0486535,Morgenmagazin,Morgenmagazin,0.0,210.0,tvseries,1992.0,,150
tt0487189,Waterloo Road,Waterloo Road,0.0,53.0,tvseries,2006.0,,19
tt0489237,The Nanny Diaries,The Nanny Diaries,0.0,105.0,movie,2007.0,,13
tt0493093,Hannah Montana,Hannah Montana,0.0,23.0,tvseries,2006.0,2011.0,159
tt0499383,Dancing On Ice,Dancing On Ice,0.0,60.0,tvseries,2006.0,,47
tt0499549,Avatar,Avatar,0.0,162.0,movie,2009.0,,131
tt0780521,The Princess And The Frog,The Princess And The Frog,0.0,97.0,movie,2009.0,,163
tt0795461,Scary Movie V,Scary Movie 5,0.0,86.0,movie,2013.0,,144
tt0808054,The Good Night Show,The Good Night Show,0.0,,tvseries,2005.0,2017.0,157
tt0816711,World War Z,World War Z,0.0,116.0,movie,2013.0,,162
tt0826215,Morning Express With Robin Meade,Robin & Company,0.0,240.0,tvseries,2005.0,2022.0,42
tt0837562,Hotel Transylvania,Hotel Transylvania,0.0,91.0,movie,2012.0,,190
tt0844708,The Last House On The Left,The Last House On The Left,0.0,113.0,movie,2009.0,,96
tt0857265,Sleuth,Sleuth,0.0,88.0,movie,2007.0,,183
tt0876563,Ponyo,Gake No Ue No Ponyo,0.0,101.0,movie,2008.0,,166
tt0892782,Monsters Vs. Aliens,Monsters Vs Aliens,0.0,94.0,movie,2009.0,,16
tt0942385,Tropic Thunder,Tropic Thunder,0.0,107.0,movie,2008.0,,85
tt0945531,De Wereld Draait Door,De Wereld Draait Door,0.0,50.0,tvseries,2005.0,2020.0,49
tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,0.0,136.0,movie,2012.0,,58
tt0962726,High School Musical 3: Senior Year,High School Musical 3: Senior Year,0.0,112.0,movie,2008.0,,232
tt0974661,17 Again,17 Again,0.0,102.0,movie,2009.0,,232
tt0981227,Nick And Norah'S Infinite Playlist,Nick And Norah'S Infinite Playlist,0.0,90.0,movie,2008.0,,199
tt0988045,Sherlock Holmes,Sherlock Holmes,0.0,128.0,movie,2009.0,,183
tt0988595,27 Dresses,27 Dresses,0.0,111.0,movie,2008.0,,192
tt0993842,Hanna,Hanna,0.0,111.0,movie,2011.0,,209
tt1001508,He'S Just Not That Into You,He'S Just Not That Into You,0.0,129.0,movie,2009.0,,152
tt10039344,Countdown,Countdown,0.0,90.0,movie,2019.0,,133
tt10060094,The Knight Before Christmas,The Knight Before Christmas,0.0,92.0,movie,2019.0,,137
tt1013752,Fast & Furious,Fast & Furious,0.0,107.0,movie,2009.0,,71
tt10147546,Homecoming: A Film By Beyoncé,Homecoming: A Film By Beyoncé,0.0,137.0,movie,2019.0,,172
tt1014759,Alice In Wonderland,Alice In Wonderland,0.0,108.0,movie,2010.0,,25
tt10155932,Cinderella,Cinderella,0.0,112.0,movie,2021.0,,44
tt1022603,500 Days Of Summer,(500) Days Of Summer,0.0,95.0,movie,2009.0,,215
tt1023111,Never Back Down,Never Back Down,0.0,113.0,movie,2008.0,,96
tt10263466,Eurovision Song Contest Tel Aviv 2019,Eurovision Song Contest Tel Aviv 2019,0.0,251.0,tvseries,2019.0,2019.0,75
tt10276470,Work It,Work It,0.0,93.0,movie,2020.0,,233
tt10304142,Amsterdam,Amsterdam,0.0,134.0,movie,2022.0,,73
tt1032755,Rocknrolla,Rocknrolla,0.0,114.0,movie,2008.0,,183
tt1032815,"I Love You, Beth Cooper","I Love You, Beth Cooper",0.0,102.0,movie,2009.0,,96
tt10329566,Ricos De Amor,Ricos De Amor,0.0,104.0,movie,2020.0,,216
tt10362466,After We Collided,After We Collided,0.0,105.0,movie,2020.0,,138
tt1038919,The Bounty Hunter,The Bounty Hunter,0.0,110.0,movie,2010.0,,124
tt10417836,Work In Progress,Work In Progress,0.0,30.0,tvseries,2019.0,2021.0,155
tt1044418,Jonas,Jonas,0.0,25.0,tvseries,2009.0,2010.0,110
tt1051906,The Invisible Man,The Invisible Man,0.0,124.0,movie,2020.0,,183
tt10521814,K-12,K-12,0.0,96.0,movie,2019.0,,157
tt10559412,A Brother'S Honor,A Brother'S Honor,0.0,86.0,movie,2019.0,,107
tt1060277,Cloverfield,Cloverfield,0.0,85.0,movie,2008.0,,188
tt10638522,Talk To Me,Talk To Me,0.0,95.0,movie,2022.0,,211
tt10648342,Thor: Love And Thunder,Thor: Love And Thunder,0.0,118.0,movie,2022.0,,5
tt1065073,Boyhood,Boyhood,0.0,165.0,movie,2014.0,,86
tt10676012,To All The Boys: Always And Forever,To All The Boys: Always And Forever,0.0,116.0,movie,2021.0,,130
tt1067774,Monte Carlo,Monte Carlo,0.0,109.0,movie,2011.0,,190
tt10696784,The Harder They Fall,The Harder They Fall,0.0,139.0,movie,2021.0,,125
tt10731256,Don'T Worry Darling,Don'T Worry Darling,0.0,123.0,movie,2022.0,,99
tt10740926,Rob Peace,Rob Peace,0.0,120.0,movie,2024.0,,44
tt1074638,Skyfall,Skyfall,0.0,143.0,movie,2012.0,,6
tt1078912,Night At The Museum: Battle Of The Smithsonian,Night At The Museum: Battle Of The Smithsonian,0.0,105.0,movie,2009.0,,110
tt1078940,Couples Retreat,Couples Retreat,0.0,113.0,movie,2009.0,,188
tt10839646,A Life Worth Living,Bom Sucesso,0.0,41.0,tvseries,2019.0,2020.0,66
tt1085779,The Hole,The Hole,0.0,92.0,movie,2009.0,,52
tt1086772,Blended,Blended,0.0,117.0,movie,2014.0,,84
tt10901068,Joseph,Joseph,0.0,116.0,movie,2020.0,,194
tt1093908,Confessions Of A Shopaholic,Confessions Of A Shopaholic,0.0,104.0,movie,2009.0,,194
tt10960302,Klassen,Klassen,0.0,,tvseries,2019.0,,148
tt10969656,Dirty Sexy Saint,Dirty Sexy Saint,0.0,104.0,movie,2019.0,,107
tt10982034,Trying,Trying,0.0,30.0,tvseries,2020.0,2024.0,100
tt11050878,Hi-Fear,Hi-Fear,0.0,112.0,movie,2022.0,,196
tt11057302,Madame Web,Madame Web,0.0,116.0,movie,2024.0,,40
tt11083552,Wrath Of Man,Wrath Of Man,0.0,119.0,movie,2021.0,,176
tt11125620,The Addams Family 2,The Addams Family 2,0.0,93.0,movie,2021.0,,220
tt1112782,The Code,Thick As Thieves,0.0,104.0,movie,2009.0,,203
tt1114677,Hannah Montana: The Movie,Hannah Montana: The Movie,0.0,102.0,movie,2009.0,,159
tt1119646,The Hangover,The Hangover,0.0,100.0,movie,2009.0,,210
tt11212198,Rap Sh!T,Rap Sh!T,0.0,30.0,tvseries,2022.0,2023.0,3
tt11214590,House Of Gucci,House Of Gucci,0.0,158.0,movie,2021.0,,128
tt1126590,Big Eyes,Big Eyes,0.0,106.0,movie,2014.0,,129
tt1126591,Burlesque,Burlesque,0.0,119.0,movie,2010.0,,53
tt11286314,Don'T Look Up,Don'T Look Up,0.0,138.0,movie,2021.0,,20
tt11315808,Joker: Folie À Deux,Joker: Folie À Deux,0.0,138.0,movie,2024.0,,128
tt1131724,2:22,2:22,0.0,98.0,movie,2017.0,,78
tt1145144,Center Stage: Turn It Up,Center Stage: Turn It Up,0.0,95.0,movie,2008.0,,155
tt11454722,Generation,Genera+Ion,0.0,30.0,tvseries,2021.0,2021.0,230
tt11478344,Family Feud Canada,Family Feud Canada,0.0,,tvseries,2019.0,,207
tt1148165,Bran Nue Dae,Bran Nue Dae,0.0,85.0,movie,2009.0,,108
tt1155056,"I Love You, Man","I Love You, Man",0.0,105.0,movie,2009.0,,6
tt1155076,The Karate Kid,The Karate Kid,0.0,140.0,movie,2010.0,,8
