track_name,primaryName,tconst,popularity,averageRating,numVotes,fuzzy_score
All The Stars (With Sza),Kendrick Lamar,tt1825683,95,7.3,872375,
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,tt14954666,93,4.4,114165,
Skyfall,Adele,tt1074638,86,7.8,749957,
Sunflower - Spider-Man: Into The Spider-Verse,Post Malone,tt4633694,83,8.4,728484,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,tt2322441,79,4.2,346067,
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,tt2294629,78,7.4,687641,
A Thousand Years (Feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,tt1673434,67,5.6,271802,
"How Far I'Ll Go - From ""Moana""",Alessia Cara,tt3521164,62,7.6,414419,
"Million To One - From The Amazon Original Movie ""Cinderella""",Camila Cabello,tt10155932,52,4.4,48801,
All The Stars (With Sza),Kendrick Lamar,tt6133466,95,5.2,75234,53.333333333333336
I Wanna Be Yours,Arctic Monkeys,tt2442560,93,8.7,708926,50.0
Sweater Weather,The Neighbourhood,tt0455944,92,7.3,444435,58.33333333333333
Without Me,Eminem,tt0298203,89,7.2,337730,66.66666666666667
Closer,The Chainsmokers,tt2126235,89,5.7,17776,50.0
Closer,The Chainsmokers,tt8045906,89,7.2,14768,50.0
Hips Don'T Lie (Feat. Wyclef Jean),Shakira,tt0484740,88,6.4,24535,50.98039215686274
There'S Nothing Holdin' Me Back,Shawn Mendes,tt6467266,88,7.3,95381,66.66666666666667
Bring Me To Life,Evanescence,tt12649014,88,6.8,11,50.0
The Hills,The Weeknd,tt14954666,87,4.4,114165,80.0
Lover,Taylor Swift,tt28814949,86,8.0,24160,60.0
Pride.,Kendrick Lamar,tt6133466,86,5.2,75234,60.0
What Makes You Beautiful,One Direction,tt3088084,86,6.2,1355,50.0
What Makes You Beautiful,One Direction,tt2666270,86,7.4,8972,54.54545454545454
Tik Tok,Kesha,tt6265828,86,6.8,83789,57.14285714285714
Don'T,Bryson Tiller,tt1502397,86,6.5,190321,50.0
We Are The People,Empire Of The Sun,tt1956620,86,5.1,120715,62.5
Call Out My Name,The Weeknd,tt5727208,86,7.4,334343,50.0
The Nights,Avicii,tt1292566,86,6.1,96917,50.0
The Nights,Avicii,tt6802308,86,5.3,36437,57.14285714285714
Feel So Close - Radio Edit,Calvin Harris,tt4769836,86,5.7,53834,50.0
Complicated,Avril Lavigne,tt1014759,85,6.4,454916,50.0
Summertime Sadness,Lana Del Rey,tt5033998,85,5.0,82769,57.14285714285714
We Found Love,Rihanna,tt2224026,85,6.5,116169,57.14285714285714
We Found Love,Rihanna,tt2239822,85,6.4,203918,53.84615384615385
Low (Feat. T-Pain),Flo Rida,tt1282140,85,7.0,431110,50.0
Demons,Imagine Dragons,tt1517260,85,5.8,120171,50.0
Demons,Imagine Dragons,tt2109248,85,5.6,340482,50.0
Demons,Imagine Dragons,tt1355644,85,7.0,473877,50.0
Good 4 U,Olivia Rodrigo,tt2935622,85,5.9,39563,66.66666666666666
Umbrella,Rihanna,tt2224026,85,6.5,116169,50.0
West Coast,Lana Del Rey,tt5033998,85,5.0,82769,52.63157894736843
Set Fire To The Rain,Adele,tt2304933,84,5.2,121590,52.17391304347826
Baby,Justin Bieber,tt1702443,84,1.7,76523,50.0
Anti-Hero,Taylor Swift,tt28814949,84,8.0,24160,50.0
Anti-Hero,Taylor Swift,tt9411972,84,7.2,145922,50.0
Hope,Xxxtentacion,tt4633694,84,8.4,728484,50.0
Hope,Xxxtentacion,tt9848536,84,7.3,10301,50.0
Steal My Girl,One Direction,tt3088084,84,6.2,1355,60.0
Steal My Girl,One Direction,tt5222314,84,7.1,531,50.0
After Hours,The Weeknd,tt14954666,83,4.4,114165,50.0
Levitating (Feat. Dababy),Dua Lipa,tt1517268,83,6.8,605663,60.0
Into You,Ariana Grande,tt11286314,83,7.2,638898,53.333333333333336
Attention,Charlie Puth,tt5433140,83,5.7,134792,50.0
Call Me Maybe,Carly Rae Jepsen,tt2261287,83,6.8,25561,55.55555555555556
On The Floor,Jennifer Lopez,tt2126357,83,5.8,31434,57.14285714285714
On The Floor,Jennifer Lopez,tt10559412,83,5.4,381,66.66666666666667
Chandelier,Sia,tt1823664,83,5.4,42138,60.0
Chandelier,Sia,tt3741834,83,8.0,259182,50.0
Grenade,Bruno Mars,tt9376612,83,7.3,461793,57.14285714285714
Grenade,Bruno Mars,tt1324999,83,4.9,262996,57.14285714285714
Don'T Let Me Down,The Chainsmokers,tt8045906,83,7.2,14768,50.0
Don'T Let Me Down,The Chainsmokers,tt6284564,83,4.1,2269,57.14285714285714
Sunflower - Spider-Man: Into The Spider-Verse,Post Malone,tt11083552,83,7.1,223820,50.0
Bad Guy,Billie Eilish,tt1517268,83,6.8,605663,50.0
Stargirl Interlude,The Weeknd,tt1825683,82,7.3,872375,50.0
Despacito,Luis Fonsi,tt6898324,82,6.8,1116,53.333333333333336
Girl With The Tattoo Enter.Lewd,Miguel,tt1621045,82,6.5,51666,50.0
Girl With The Tattoo Enter.Lewd,Miguel,tt2380307,82,8.4,647991,50.0
Stan,Eminem,tt1596343,82,7.3,420136,50.0
Rolling In The Deep,Adele,tt2304933,82,5.2,121590,50.0
Drag Me Down,One Direction,tt5222314,81,7.1,531,52.63157894736843
Elastic Heart,Sia,tt7541720,81,3.2,9452,60.0
Elastic Heart,Sia,tt2660888,81,7.0,264634,52.63157894736843
Silence,Marshmello,tt3554046,81,4.5,83744,50.0
Silence,Marshmello,tt12800524,81,5.9,11318,60.0
Sweet But Psycho,Ava Max,tt3152592,81,5.6,31467,60.0
Roar,Katy Perry,tt1608290,81,4.7,78982,50.0
"Thank U, Next",Ariana Grande,tt11286314,81,7.2,638898,50.0
Unstoppable,Sia,tt7541720,81,3.2,9452,50.0
Better Now,Post Malone,tt4633694,80,8.4,728484,50.0
We Don'T Talk Anymore (Feat. Selena Gomez),Charlie Puth,tt5433140,80,5.7,134792,66.66666666666667
Boyfriend (With Social House),Ariana Grande,tt1262426,80,7.5,158547,50.0
Lean Wit Me,Juice Wrld,tt4633694,80,8.4,728484,63.63636363636363
This Is What You Came For,Calvin Harris,tt4769836,80,5.7,53834,53.333333333333336
This Is What You Came For,Calvin Harris,tt0448115,80,7.0,399788,50.0
This Is What You Came For,Calvin Harris,tt4630562,80,6.6,263994,51.28205128205128
Side To Side,Ariana Grande,tt1262426,80,7.5,158547,50.0
Nothing Breaks Like A Heart (Feat. Miley Cyrus),Mark Ronson,tt1517268,80,6.8,605663,50.0
Style,Taylor Swift,tt28814949,80,8.0,24160,66.66666666666667
Shower,Becky G,tt3717490,79,5.9,116838,72.72727272727273
Shower,Becky G,tt9362722,79,8.5,452099,50.0
Party Monster,The Weeknd,tt1825683,79,7.3,872375,60.0
Runaway,Aurora,tt1236246,79,6.8,29330,100.0
Let Her Go,Passenger,tt3614530,79,4.2,8511,50.0
Let Her Go,Passenger,tt3273636,79,7.2,2142,50.0
Domino,Jessie J,tt3416828,79,5.7,80648,50.0
Worth It (Feat. Kid Ink),Fifth Harmony,tt1292566,79,6.1,96917,50.0
Mood (Feat. Iann Dior),24Kgoldn,tt5433138,79,5.2,171350,50.0
Sing For The Moment,Eminem,tt0298203,78,7.2,337730,50.0
Royals,Lorde,tt5503686,78,6.3,110510,50.0
Royals,Lorde,tt2203939,78,6.0,156508,50.0
I Like It,Cardi B,tt1502397,78,6.5,190321,57.14285714285714
Fight Song,Rachel Platten,tt3799232,78,5.9,98620,50.0
Paper Rings,Taylor Swift,tt9411972,78,7.2,145922,52.63157894736843
Break My Heart,Dua Lipa,tt1517268,78,6.8,605663,66.66666666666667
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,tt4520988,78,6.8,207102,66.66666666666667
Nda,Billie Eilish,tt2382320,78,7.3,464669,50.0
Nda,Billie Eilish,tt8097030,78,6.9,164596,50.0
I Knew You Were Trouble.,Taylor Swift,tt28814949,78,8.0,24160,50.0
Girlfriend,Avril Lavigne,tt1014759,78,6.4,454916,53.333333333333336
Hello,Adele,tt2304933,77,5.2,121590,50.0
Dress,Taylor Swift,tt9411972,77,7.2,145922,60.0
Let Me Love You,Mario,tt0462590,77,6.5,130554,50.0
5% Tint,Travis Scott,tt6723592,77,7.3,628651,66.66666666666667
Thats What I Want,Lil Nas X,tt9376612,77,7.3,461793,51.61290322580645
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,tt1679335,77,6.4,96581,50.0
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,tt1637688,77,6.7,466457,57.14285714285714
Diamonds,Rihanna,tt2239822,77,6.4,203918,50.0
Wildest Dreams,Taylor Swift,tt28814949,76,8.0,24160,50.0
Jar Of Hearts,Christina Perri,tt1324999,76,4.9,262996,50.0
Jar Of Hearts,Christina Perri,tt1673434,76,5.6,271802,50.0
Old Town Road (Feat. Billy Ray Cyrus) - Remix,Lil Nas X,tt10039344,76,5.4,49659,58.82352941176471
Airplanes (Feat. Hayley Williams Of Paramore),Bob,tt1784589,76,4.3,5247,71.42857142857143
Love Story,Taylor Swift,tt28814949,76,8.0,24160,53.333333333333336
Love Story,Taylor Swift,tt1482459,76,6.4,136768,50.0
I Don'T Care (With Justin Bieber),Ed Sheeran,tt7991608,76,6.3,339030,50.0
Dance Monkey,Tones And I,tt4844150,76,5.4,5126,58.33333333333333
Born This Way,Lady Gaga,tt1517451,76,7.6,435560,66.66666666666666
"I Hate U, I Love U (Feat. Olivia O'Brien)",Gnash,tt6491190,76,7.4,399,50.0
The Morning,The Weeknd,tt14954666,76,4.4,114165,71.42857142857143
The Morning,The Weeknd,tt1825683,76,7.3,872375,53.333333333333336
Only Girl (In The World),Rihanna,tt2224026,75,6.5,116169,50.0
Only Girl (In The World),Rihanna,tt1245492,75,6.6,444509,57.14285714285714
Dive,Ed Sheeran,tt7991608,75,6.3,339030,57.14285714285714
No,Meghan Trainor,tt2398241,75,6.0,25817,50.0
Play With Fire (Feat. Yacht Money),Sam Tinnesz,tt8712204,75,3.6,47404,50.0
Alive,Empire Of The Sun,tt1956620,75,5.1,120715,50.0
"10,000 Hours (With Justin Bieber)",Dan + Shay,tt33079176,75,9.3,13,50.0
House Of Balloons / Glass Table Girls,The Weeknd,tt14954666,74,4.4,114165,53.333333333333336
The One That Got Away,Katy Perry,tt2017020,74,5.3,48221,50.0
Don'T,Ed Sheeran,tt7991608,74,6.3,339030,50.0
Don'T,Ed Sheeran,tt1473832,74,6.4,87962,50.0
S&M,Rihanna,tt1440129,74,5.8,263046,50.0
S&M,Rihanna,tt2224026,74,6.5,116169,50.0
S&M,Rihanna,tt2239822,74,6.4,203918,66.66666666666667
S&M,Rihanna,tt1245492,74,6.6,444509,50.0
Meant To Be (Feat. Florida Georgia Line),Bebe Rexha,tt6324278,74,7.0,44924,50.0
L$D,A$Ap Rocky,tt3850214,74,7.2,90547,66.66666666666667
L$D,A$Ap Rocky,tt1608290,74,4.7,78982,50.0
Better When I'M Dancin',Meghan Trainor,tt2361509,74,7.1,292696,50.0
You Belong With Me,Taylor Swift,tt28814949,73,8.0,24160,55.55555555555556
Me Too,Meghan Trainor,tt2398241,73,6.0,25817,50.0
Despacito - Remix,Luis Fonsi,tt6898324,72,6.8,1116,64.0
Whoa (Mind In Awe),Xxxtentacion,tt9848536,72,7.3,10301,53.84615384615385
So Am I,Ava Max,tt3152592,72,5.6,31467,57.14285714285714
We Are Never Ever Getting Back Together,Taylor Swift,tt1482459,72,6.4,136768,61.53846153846154
We Are Never Ever Getting Back Together,Taylor Swift,tt1392170,72,7.2,1041403,50.0
Don’T Matter To Me (With Michael Jackson),Drake,tt2704998,71,6.9,265082,50.0
E.T.,Katy Perry,tt1608290,71,4.7,78982,50.0
E.T.,Katy Perry,tt2017020,71,5.3,48221,66.66666666666667
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,tt2304933,71,5.2,121590,50.0
Love The Way You Lie (Part Ii) - Pt. 2,Rihanna,tt2224026,69,6.5,116169,50.0
Nothing Burns Like The Cold,Snoh Aalegra,tt8851668,69,6.1,28428,57.14285714285714
Sunsetz,Cigarettes After Sex,tt2018069,69,5.3,9494,60.0
The Greatest (Feat. Kendrick Lamar),Sia,tt2660888,68,7.0,264634,50.0
Ciao Adios,Anne-Marie,tt21051906,67,5.4,36647,50.0
Ciao Adios,Anne-Marie,tt9466114,67,6.3,73285,50.0
Doctor Jones,Aqua,tt0120148,67,6.7,73391,58.82352941176471
"What Is Love - 7"" Mix",Haddaway,tt2005151,66,7.1,277188,53.333333333333336
Memories (Feat. Kid Cudi),David Guetta,tt2820852,66,7.1,426779,50.0
Memories (Feat. Kid Cudi),David Guetta,tt1905041,66,7.0,428278,50.0
Burn,Ellie Goulding,tt1840309,66,6.6,504969,50.0
Coffee,Miguel,tt2380307,65,8.4,647991,66.66666666666667
Keep Holding On,Avril Lavigne,tt1014759,65,6.4,454916,51.85185185185186
Alarm,Anne-Marie,tt21051906,64,5.4,36647,60.0
Liar,Camila Cabello,tt10155932,64,4.4,48801,66.66666666666667
Title,Meghan Trainor,tt2452042,64,7.0,51595,57.14285714285714
Title,Meghan Trainor,tt2398241,64,6.0,25817,60.0
Title,Meghan Trainor,tt2361509,64,7.1,292696,60.0
New Man,Ed Sheeran,tt7991608,63,6.3,339030,50.0
Like My Father,J-Ax,tt30222481,63,8.6,11,66.66666666666667
Step On Up,Ariana Grande,tt11286314,61,7.2,638898,63.1578947368421
Knees,Bebe Rexha,tt4590256,61,4.4,30555,50.0
Dangerously In Love,Beyoncé,tt0443489,61,6.6,78912,52.63157894736843
Roses Are Red - Original Version,Aqua,tt0892782,60,6.4,182451,51.85185185185186
Titanium (Feat. Sia),David Guetta,tt3011894,60,8.1,227949,52.17391304347826
Innocence,Avril Lavigne,tt1014759,58,6.4,454916,55.55555555555556
Gasolina,Daddy Yankee,tt1502397,56,6.5,190321,50.0
Teardrops On My Guitar - Pop Version,Taylor Swift,tt1482459,55,6.4,136768,50.0
Love Will Remember,Selena Gomez,tt20221436,55,5.4,88408,54.54545454545454
Him & I,G-Eazy,tt3554046,53,4.5,83744,50.0
D.D.,The Weeknd,tt14954666,52,4.4,114165,50.0
D.D.,The Weeknd,tt2322441,52,4.2,346067,50.0
"Million To One - From The Amazon Original Movie ""Cinderella""",Camila Cabello,tt10740926,52,6.5,2079,55.55555555555556
She,Selena Gomez,tt20221436,52,5.4,88408,50.0
The Story Of Us,Taylor Swift,tt28814949,49,8.0,24160,57.14285714285714
The Story Of Us,Taylor Swift,tt1482459,49,6.4,136768,70.58823529411764
Repeat After Me (Interlude),The Weeknd,tt14954666,47,4.4,114165,50.0
Never Be The Same,Jessica Mauboy,tt5645790,46,6.3,326,52.17391304347826
Who I Am,Anne-Marie,tt9466114,44,6.3,73285,50.0
Alone,Avril Lavigne,tt1014759,42,6.4,454916,60.0
K.,Cigarettes After Sex,tt7016936,41,8.1,146148,100.0
Waves,Miguel,tt3104988,41,6.9,200690,50.0
Stay (With Justin Bieber),The Kid Laroi,tt10638522,13,7.1,182559,50.0
Stay (With Justin Bieber),The Kid Laroi,tt1517268,13,6.8,605663,50.0
Leave The Door Open,Bruno Mars,tt9376612,6,7.3,461793,52.63157894736843
I Like Me Better,Lauv,tt3846674,4,7.0,132232,56.25
Dance Again,Jennifer Lopez,tt10969656,1,5.5,1890,50.0
Mirrors,Justin Timberlake,tt1679335,0,6.4,96581,60.0
Writing'S On The Wall,Sam Smith,tt4068576,0,7.3,38578,57.142857142857146
Writing'S On The Wall,Sam Smith,tt3470600,0,7.1,202413,75.0
I'M Not The Only One,Sam Smith,tt1051906,0,7.1,270595,55.172413793103445
I'M Not The Only One,Sam Smith,tt4068576,0,7.3,38578,51.85185185185186
I'M Not The Only One,Sam Smith,tt3470600,0,7.1,202413,50.0
I'M Not The Only One,Sam Smith,tt1822253,0,6.7,120,60.0
